"analytics_id","consume_unique_id","document"
42579,45237,36732795000170
42851,45470,20895339000100
42853,45472,12005360000165
42854,45473,"01699525000120"
42855,45474,22652316000109
42856,45475,21709570000125
42857,45476,23219422000158
42858,45477,"08794451000150"
42859,45478,32136270000110
42860,45479,12372886000183
42861,45480,"08876929000190"
42862,45481,"01167047000107"
42865,45484,21679908000143
42868,45487,13026004000190
42871,45490,39847439000190
42872,45491,12404898000142
42873,45492,"08894562000138"
42874,45493,"01177442000170"
42876,45495,"03995458000116"
42877,45496,10360802000166
42878,45497,18612782000185
42880,45499,23603085000106
42881,45500,19208239000180
42882,45501,31950267000173
42883,45502,"01440847000150"
42884,45503,"07079993000188"
42885,45504,27256405000141
42886,45505,"02485314000157"
42887,45506,"03063198000140"
42888,45507,28282320000109
42889,45508,11727760000111
42890,45509,14046062000149
42891,45510,23998676000111
42892,45511,17507857000103
42893,45512,32255828000187
42894,45513,29443344000157
42895,45514,22362486000140
42896,45515,30272570000100
42897,45516,21672154000108
42898,45517,34279634000147
42899,45518,26494226000180
42900,45519,"03693847000197"
42901,45520,"01159435000146"
42902,45521,21316172000149
42903,45522,"06119918000130"
42904,45523,26362390000133
42905,45524,32290147000150
42906,45525,11307426000109
42907,45526,12980290000166
42908,45527,"00942557000141"
42909,45528,33504925000129
42910,45529,28813333000159
42911,45530,"06097792000140"
42912,45531,"01136104000190"
42913,45532,22861865000185
42914,45533,27353932000174
42915,45534,41151473000177
42916,45535,"02744470000195"
42917,45536,20013978000103
42918,45537,47221081000113
42919,45538,46344618000170
